ID,SENTENCE,ANNOTATION,LABEL,ANNOTATOR_1,ANNOTATOR_2,ANNOTATOR_3,SET,IN_DEV_SET,gpt-4o_long-german-wv,gpt-4o_long-wv,gpt-4o_medium,gpt-4o_short,Qwen2.5-32B_short,Qwen2.5-32B_medium,Qwen2.5-32B_long,Qwen2.5-32B_long-german,Qwen2.5-3B_short,Qwen2.5-3B_medium,Qwen2.5-3B_long,Qwen2.5-3B_long-german,Qwen2.5-7B_short,Qwen2.5-7B_medium,Qwen2.5-7B_long,Qwen2.5-7B_long-german,gemma2:2b_short,gemma2:2b_medium,gemma2:2b_long,gemma2:2b_long-german,gemma2:9b_short,gemma2:9b_medium,gemma2:9b_long,gemma2:9b_long-german,gemma2:27b_short,gemma2:27b_medium,gemma2:27b_long,gemma2:27b_long-german
0,"Bergwanderung z. B. auf den Schafberg, das Zwölferhorn oder gemütlich auf der Postalm .",nein,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,False,False,True,False,False,False
1,Als Ergebnis der Höhenlage über dem Meeresspiegel ist dieser Nationalpark überwiegend in Wolken gehüllt.,ja,1,,,,set_1_wv,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,True,True,True,True,True,True,True,False,True,True
2,"Stary Oskol — zweitgrößte Stadt der Oblast, touristisch weniger interessant .",nein,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,"Es gibt auch einen Mündungsarm, der als Rijn bei Katwijk in die Nordsee fließt.",ja,1,,,,set_1_wv,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False
4,Pharao-Insel scheint zu dieser Zeit aber nicht der gängige Name in der einheimischen Bevölkerung gewesen sein.,nein,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,Hotel mit Panoramablick über den Achensee.,ja,1,,,,set_1_wv,False,False,False,False,True,True,True,False,False,False,False,False,False,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,False
6,Ein bisher militärisch genutzter Flughafen wird zum Nanjing Ma'an International Airport umgebaut.,nein,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,Fernbusse von Premier Motor Service und Greyhound Australia verbinden die Stadt mit anderen Zentren Australiens.,nein,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,"An der Plaza Sol y Mar findet man alles an Läden, was man sich in einer touristischen Stadt so vorstellen kann.",ja,1,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False
9,"Im 2. Jahrhundert v. Chr. kam zwar der Buddhismus von Indien aus auf die Insel, war aber noch nicht so verbreitet wie heutzutage.",nein,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,Busse von Nevtur fahren alle 2 Stunden vom Hauptbusbahnhof Ankara Sehirlerarasi Terminal Isletmesi nach Nevsehir und umgekehrt.,nein,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,Alamogordo ist eine Stadt im Südosten des US-Bundesstaates New Mexico.,nein,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,True,True,False,False,True,True,False,False
12,"Zur Linde, Sedanstr. 1, Friemersheim, Tel. (02065) 22079; Bus 923 bis Sedanstraße (gute leichte deutsche und internationale Küche) .",nein,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,Ust-Kamtschatsk: Dieses Dorf liegt an der Küste des Ochotskischen Meeres und ist ein wichtiger Fischereihafen.,nein,0,,,,set_1_wv,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,True,True,True,True,True,False,False,True,True,True,False
14,"Verkehrsbelastung:auf den flussnahen Strecken gering, auf Hochwasser-Ausweichstrecken ausnahmsweise mal Hauptstraßen mit viel Autoverkehr .",ja,1,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,True,False,False,False
15,Auto- und Personenfähren: . Ingelheim-Hafen − Oestrich-Winkel .,nein,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,Staatliches Museum für Archäologie Chemnitz: 2014 eröffnetes sächsisches Museum.,nein,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,"Die Altstadt befindet sich auf einer mächtigen, länglich gestreckten Felserhebung. .",ja,1,,,,set_1_wv,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True
18,Portogruaro ist eine Stadt in der Region Venetien.,nein,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,Fährhafen Sassnitz: liegt etwas außerhalb der Stadt in Mukran.,nein,0,,,,set_1_wv,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False,True,True,False,False,True,True,True,False
20,"Wer an der südlichen Westküste unterwegs ist, findet in Pentaki auf der Straße nach Agios Gordis „Chris Place“, eine kleine Taverne mit fantastischem Blick auf das Meer und leckerem frischen Orangensaft.",ja,1,,,,set_1_wv,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,True,True,True,False
