ID,SENTENCE,ANNOTATION,LABEL,ANNOTATOR_1,ANNOTATOR_2,ANNOTATOR_3,SET,IN_DEV_SET,gpt-4o_long-german,gpt-4o_long,gpt-4o_medium,gpt-4o_short,gemma2:2b_short,gemma2:2b_medium,gemma2:2b_long,gemma2:2b_long-german,gemma2:9b_short,gemma2:9b_medium,gemma2:9b_long,gemma2:9b_long-german,gemma2:27b_short,gemma2:27b_medium,gemma2:27b_long,gemma2:27b_long-german,Qwen2.5:3B_short,Qwen2.5:3B_medium,Qwen2.5:3B_long,Qwen2.5:3B_long-german,Qwen2.5:7B_short,Qwen2.5:7B_medium,Qwen2.5:7B_long,Qwen2.5:7B_long-german,Qwen2.5:32B_short,Qwen2.5:32B_medium,Qwen2.5:32B_long,Qwen2.5:32B_long-german
1,"Bei Kolbingen auf dem Heuberge ist auf ebener Erde ein tiefes Erdloch, geheißen""Kuhloch"".",ja,1,,,,set_1_gt,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True
2,"Ich bin ein mittagheller Verstand mit einer verwaschenen, dämmernd romantischen Seele, das bin ich.",nein,0,,,,set_1_gt,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,"Seit jenem Morgen, welcher auf den Tag folgte, den er so heiter in der Gesellschaft der schönen Freiin Zoe auf ihrer Hietzinger Villa verbrachte, hatte das Leben in der heitern Stadt vieles von seinen Reizen für ihn verloren.",nein,0,,,,set_1_gt,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,"Pentaur taumelte, und schon drang die Menge brüllend heran, als der Zaun des kleinen Hofes von kräftigen Händen zusammengerissen einstürzte, eine hohe Frauengestalt auf den Schauplatz des Kampfes trat und dem erstaunten Volke zurief:""Laßt Diese!",nein,0,,,,set_1_gt,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,"Ich will nur noch sagen, daß mehr als ein Wanzaer Bürgerssohn auf dem Marsche oder in der Schlacht, ohne sich zu zieren oder zu ekeln, aus meiner Feldflasche einen guten Schluck getan hat; und daß mein lieber Herr Erdmann seinen allerletzten Trunk auf Erden auch daraus getan hat, dies habe ich wohl schon gesagt.",nein,0,,,,set_1_gt,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,"Ja, er hätte wohl gern seine sonnige Dachkammer mit einem finsteren Nordfensterchen vertauscht, von dem aus er den Berg und die kleine Felshöhle oben über den letzten Reben, den Ort seiner Kinderspiele, hätte sehen können.",nein,0,,,,set_1_gt,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,True,True,False,False,False,False
8,"plapperte Ammerie ihrem Vater trotzig nach, drehte sich kurz auf dem Absatz um und lief zu Trudi, die in der Wohnstube am Fenster saß und nähte.",nein,0,,,,set_1_gt,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False
9,"Als aber am folgenden Morgen ein reiner, blauer Himmel sich über die Berge wölbte, die rosenrot herabgrüßten ins Thal, da lebte in allen Herzen die Hoffnung wieder auf, daß gleich dem bösen Gewitter auch die Gefahr an den Bergsteigern glücklich vorübergezogen sei.",teilweise,0,,,,set_1_gt,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False
13,"Mit diesem Vorsatz steh ich auf von meinem Platz am Fußende ihres Bettes, und wie ich mich über sie beuge – was seh ich?",nein,0,,,,set_1_gt,False,False,False,False,False,True,False,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
14,"Desto öfter jedoch blickte ich in den Tagen, die nun folgten, nach dem kleinen Hause hinüber, und bald paßte ich sogar jeden Morgen den Augenblick ab, wo die Jungfrau vor der Tür erschien.",nein,0,,,,set_1_gt,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
